Warning ID,Antibiotic ID,Headline,Warning Type,Warning Description,Reference ID
W115,A016,Fetal Growth Effects,Pregnancy & Lactation,"In monkeys, an oral dose of 70 mg/kg/day produced fetal growth retardation at plasma levels 2 times the human serum levels.",R016
W116,A016,No Teratogenicity in Some Studies,Pregnancy & Lactation,Studies in rats and rabbits failed to demonstrate any teratogenicity from clarithromycin.,R016
W117,A016,Cardiovascular Anomalies in Animal Studies,Pregnancy & Lactation,A low incidence of cardiovascular anomalies at doses of 150 mg/kg/day administered during gestation days 6 to 15.,R016
W118,A016,Embryonic Loss,Pregnancy & Lactation,Embryonic loss has been seen in monkeys and rabbits.,R016
W119,A016,Breastfeeding Caution,Pregnancy & Lactation,"Since clarithromycin is distributed in human milk, caution should be exercised when the drug is given to breastfeeding women.",R016
W120,A017,Overdosage Management,Overdosage,"It is not described poisoning at therapeutical doses.
In the event of overdose, it is enough increase urinary elimination of drug substance by oral liquids administration.",R017
W121,A017,Hypersensitivity,Contraindication,Hypersensitivity to the active substance or to any of the excipients listed in Description. Fosfomycin trometamol is contraindicated in: Patients with known hypersensitivity to the drug; Patients with severe renal insufficiency (Clcr <10 mL/min); Patients undergone haemodialysis; Children younger than 12 years old.,R017
W122,A017,Pregnancy,Pregnancy & Lactation,"Pregnancy: Several studies on animals with fosfomycin trometamol have not shown any evidence of damaging effects on the fetus. Previous studies in rats, sodium and calcium fosfomycin we could only detect toxic effects on fetus when using 25 times therapeutic dose. In rabbits the minimum dose doesn't show toxicity signs.",R017
W123,A017,Pregnancy,Pregnancy & Lactation,"In spite of results of studies on animals with fosfomycin trometamol have not shown any teratogenic effect, and single dose administration in pregnancy reduce teratogenic risk compared with longer treatments, the administration is only recommended when the benefit/ risk balance is considered favourable.",R017
W124,A017,Breastfeeding,Pregnancy & Lactation,"Breastfeeding: Fosfomycin trometamol is excreted into milk during breastfeeding, in consequence, the administration is only recommended in breastfeeding when the benefit/risk balance is considered favourable.",R017
W125,A018,Treatment,Overdosage,"In the event of overdose, the patient must be monitored (particularly for plasma/serum electrolyte levels), and treatment should be symptomatic and supportive.",R018
W126,A018,Rehydration and Elimination,Overdosage,Rehydration is recommended to promote urinary elimination of the active substance. Fosfomycin is effectively cleared from the body by haemodialysis with a mean elimination half- life of approximately 4 hours.,R018
W127,A018,Hypersensitivity,Contraindication,Hypersensitivity to the active substance Fosfomycin.,R018
